YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1981,7,10,-999.0,-999.0,-999.0,-999.0,14.19,10.18,12.18,14.31,-261.42,20.73,9.01,,,,,
1981,7,11,-999.0,-999.0,-999.0,-999.0,15.33,8.68,12.01,14.25,-260.42,21.8,9.08,,,,,
1981,7,12,-999.0,-999.0,-999.0,-999.0,15.62,8.76,12.19,14.12,-259.88,22.97,9.69,,,,,
1981,7,13,-999.0,-999.0,-999.0,-999.0,16.35,8.91,12.63,14.76,-260.31,24.01,11.18,,,,,
1981,7,14,-999.0,-999.0,-999.0,-999.0,16.24,10.44,13.34,15.63,-258.59,24.29,9.73,,,,,
1981,7,15,-999.0,-999.0,-999.0,-999.0,16.66,10.7,13.69,15.82,-258.82,24.54,10.21,,,,,
1981,7,16,-999.0,-999.0,-999.0,-999.0,16.18,9.08,12.62,15.26,-258.61,24.33,9.79,,,,,
1981,7,17,-999.0,-999.0,-999.0,-999.0,16.43,10.33,13.38,16.08,-257.75,24.79,9.39,,,,,
1981,7,18,-999.0,-999.0,-999.0,-999.0,11.71,9.93,10.82,12.16,-268.35,14.5,9.7,,,,,
1981,7,19,-999.0,-999.0,-999.0,-999.0,10.19,9.19,9.69,10.48,-269.86,12.28,8.99,,,,,
1981,7,20,-999.0,-999.0,-999.0,-999.0,8.69,5.69,7.19,8.55,-263.39,11.4,1.64,,,,,
1981,7,21,-999.0,-999.0,-999.0,-999.0,6.97,0.77,3.87,6.63,-257.56,15.47,-0.12,,,,,
1981,7,22,-999.0,-999.0,-999.0,-999.0,11.13,6.17,8.65,10.19,-260.67,18.55,6.07,,,,,
1981,7,23,-999.0,-999.0,-999.0,-999.0,11.84,10.46,11.15,12.14,-266.77,15.58,9.2,,,,,
1981,7,24,-999.0,-999.0,-999.0,-999.0,12.05,10.9,11.48,12.15,-267.96,15.11,9.92,,,,,
1981,7,25,-999.0,-999.0,-999.0,-999.0,11.82,10.51,11.16,11.7,-267.3,14.5,8.65,,,,,
1981,7,26,-999.0,-999.0,-999.0,-999.0,11.24,6.22,8.73,11.35,-259.06,19.38,5.28,,,,,
1981,7,27,-999.0,-999.0,-999.0,-999.0,11.89,7.83,9.86,12.56,-258.96,20.65,6.47,,,,,
1981,7,28,-999.0,-999.0,-999.0,-999.0,13.5,8.36,10.93,13.12,-256.22,23.21,6.29,,,,,
